,price_sq,lat,lon,area,floor,kitchen_area,balconies,renovation,is_apartment,rooms,ceiling_height,house_floors,lifts,freight_lifts,time_on_foot_to_subway,build_year,bathroom_type,house_wall_type
15260,359210.5263157895,55.71125,37.40407,38.0,19.0,16.0,1.0,Без ремонта,False,1.0,,22.0,3.0,3.0,5.0,2012.0,,
15268,183044.3159922929,59.841975,30.113127,51.9,7.0,11.8,1.0,Без ремонта,False,2.0,,12.0,2.0,0.0,13.0,2017.0,,
15270,623575.7095504453,55.7831190790998,37.5854233447391,96.54,16.0,0.0,,Косметический,True,3.0,,21.0,,,7.0,2024.0,,
15271,531098.677839851,55.7831190790998,37.5854233447391,53.7,3.0,0.0,,Дизайнерский,True,1.0,,21.0,,,7.0,2024.0,,
15289,555929.9815197304,55.7831190790998,37.5854233447391,91.99,12.0,0.0,,Евро,True,3.0,,21.0,,,7.0,2024.0,,
15290,523428.0588170745,55.7831190790998,37.5854233447391,91.13,8.0,0.0,,Евро,True,3.0,,21.0,,,7.0,2024.0,,
15291,494401.5545167953,55.7831190790998,37.5854233447391,91.99,6.0,0.0,,Евро,True,3.0,,21.0,,,7.0,2024.0,,
15292,504334.45627126086,55.7831190790998,37.5854233447391,91.13,6.0,0.0,,Евро,True,3.0,,21.0,,,7.0,2024.0,,
15293,503641.6893140559,55.7831190790998,37.5854233447391,91.99,7.0,0.0,,Евро,True,3.0,,21.0,,,7.0,2024.0,,
15294,513881.2575441677,55.7831190790998,37.5854233447391,91.13,7.0,0.0,,Евро,True,3.0,,21.0,,,7.0,2024.0,,
15323,261051.96787148595,60.038578,30.199231,24.9,6.0,0.0,1.0,Евро,False,,,25.0,,6.0,11.0,2023.0,,
15324,194658.4742430201,59.7630390044222,30.3197901677926,25.43,1.0,0.0,1.0,Евро,False,,,5.0,,,12.0,2024.0,,
15325,204390.991672975,59.7630390044222,30.3197901677926,26.42,4.0,0.0,1.0,Евро,False,,,5.0,,,12.0,2024.0,,
15326,213766.49022801305,59.83648040961184,30.10328486995938,24.56,1.0,0.0,1.0,Евро,False,,,4.0,,,15.0,2024.0,,
15327,216069.9808795411,59.83751180964183,30.09298518734132,26.15,3.0,0.0,1.0,Евро,False,,,4.0,,,16.0,2024.0,,
15328,182732.9718875502,59.738254850075606,30.479955962413342,24.9,1.0,0.0,,Евро,False,,,4.0,,,17.0,2025.0,,
15329,267070.0,59.9052500136236,30.4434188199704,33.7,5.0,17.0,,Евро,False,1.0,,12.0,,12.0,4.0,2025.0,,
15330,252245.97233523196,60.0400392033035,30.2462919052115,24.58,7.0,0.0,1.0,Евро,False,,,12.0,,,,2025.0,,
15331,283678.9667896679,59.8429316642467,30.3001790423046,21.68,6.0,0.0,,Евро,False,,,9.0,,6.0,4.0,2026.0,,
15332,273317.4552135967,59.8429316642467,30.3001790423046,21.77,2.0,0.0,,Евро,False,,,9.0,,6.0,4.0,2026.0,,
15333,335231.4912637139,59.9056993901135,30.4198306388678,24.61,3.0,0.0,,Евро,False,,,7.0,,30.0,4.0,2025.0,,
15336,266666.6666666667,55.892092,37.527031,37.5,1.0,8.6,0.0,Косметический,False,1.0,,16.0,1.0,1.0,5.0,1982.0,,
15341,280000.0,59.85056886771215,30.343209634947552,61.76,12.0,17.5,,Без ремонта,False,2.0,,19.0,,,5.0,2025.0,,
15350,270000.0,59.85056886771215,30.343209634947552,72.55,13.0,20.3,,Дизайнерский,False,2.0,,19.0,,,5.0,2025.0,,
15356,300000.0,59.85056886771215,30.343209634947552,26.99,12.0,0.0,,Дизайнерский,False,,,19.0,,,5.0,2025.0,,
15357,275000.0,59.85056886771215,30.343209634947552,62.85,10.0,15.8,,Евро,False,2.0,,19.0,,,5.0,2025.0,,
15358,270000.0,59.85056886771215,30.343209634947552,67.65,10.0,20.0,,Евро,False,2.0,,19.0,,,5.0,2025.0,,
15359,270000.0,59.85056886771215,30.343209634947552,93.19,10.0,16.0,,Евро,False,3.0,,19.0,,,5.0,2025.0,,
15360,306000.0,59.85056886771215,30.343209634947552,26.99,12.0,0.0,,Евро,False,,,19.0,,,5.0,2025.0,,
15361,260000.0,59.85056886771215,30.343209634947552,93.19,7.0,16.0,,Евро,False,3.0,,19.0,,,5.0,2025.0,,
15362,640000.0,55.76249,37.51626,75.0,20.0,0.0,0.0,Евро,False,2.0,,36.0,4.0,2.0,4.0,2020.0,,
15363,275000.0,59.85056886771215,30.343209634947552,64.87,11.0,16.8,,Евро,False,2.0,,19.0,,,5.0,2025.0,,
15364,135957.06618962434,59.986722,29.788665,55.9,4.0,5.1,1.0,Евро,,3.0,,5.0,0.0,0.0,35.0,1969.0,,
15365,166999.00299102694,59.987992,30.304298,100.3,1.0,10.0,1.0,Евро,,4.0,,5.0,0.0,0.0,,1962.0,,
15366,270000.0,59.85056886771215,30.343209634947552,62.85,11.0,15.8,,Евро,False,2.0,,19.0,,,5.0,2025.0,,
15367,260000.0,59.85056886771215,30.343209634947552,93.19,6.0,16.0,,Евро,False,3.0,,19.0,,,5.0,2025.0,,
15368,260000.0,59.85056886771215,30.343209634947552,115.26,7.0,37.2,,Евро,False,3.0,,19.0,,,5.0,2025.0,,
15369,288000.0,59.85056886771215,30.343209634947552,66.87,12.0,20.0,,Евро,False,2.0,,19.0,,,5.0,2025.0,,
15386,131730.76923076922,55.831479,49.143326,52.0,6.0,10.0,1.0,Без ремонта,,2.0,,9.0,1.0,,,,,
15387,306122.44897959183,55.660353,37.572549,58.8,1.0,5.5,,Дизайнерский,False,3.0,,5.0,,,4.0,,,
15389,134375.0,59.984746,30.502547,32.0,3.0,5.6,1.0,Без ремонта,False,1.0,,4.0,,,16.0,1960.0,,
15390,195376.54516640253,59.8490135469133,30.0813372475963,31.55,1.0,10.8,,Евро,False,1.0,,4.0,,8.0,15.0,2025.0,,
15391,195864.2843917793,59.8490135469133,30.0813372475963,54.01,3.0,15.2,,Евро,False,2.0,,4.0,,8.0,15.0,2025.0,,
15394,200929.4696555495,59.8490135469133,30.0813372475963,36.58,3.0,13.8,,Евро,False,1.0,,4.0,,8.0,15.0,2025.0,,
15398,187810.01615508884,59.8490135469133,30.0813372475963,55.71,1.0,16.2,,Дизайнерский,False,2.0,,4.0,,8.0,15.0,2025.0,,
15400,194265.36979262248,59.8490135469133,30.0813372475963,54.49,2.0,14.0,,Дизайнерский,False,2.0,,4.0,,8.0,15.0,2025.0,,
15401,192360.59829059828,59.8490135469133,30.0813372475963,58.5,4.0,16.6,,Евро,False,2.0,,4.0,,8.0,15.0,2025.0,,
15402,200907.94205794207,59.8490135469133,30.0813372475963,40.04,4.0,16.2,,Евро,False,1.0,,4.0,,8.0,15.0,2025.0,,
15403,507462.6865671642,55.789391,37.536823,134.0,12.0,17.0,,Евро,True,4.0,,13.0,,,2.0,2016.0,,
15404,188750.0,59.8490135469133,30.0813372475963,77.92,2.0,20.5,,Евро,False,3.0,,4.0,,8.0,15.0,2025.0,,
15405,195321.15984584327,59.8490135469133,30.0813372475963,54.49,4.0,14.0,,Евро,False,2.0,,4.0,,8.0,15.0,2025.0,,
15406,184776.1695906433,59.8490135469133,30.0813372475963,41.04,1.0,19.2,,Евро,False,1.0,,4.0,,8.0,15.0,2025.0,,
15407,185001.59711488924,59.8490135469133,30.0813372475963,77.64,1.0,20.1,,Евро,False,3.0,,4.0,,8.0,15.0,2025.0,,
15408,179629.72098665588,59.8490135469133,30.0813372475963,24.73,1.0,0.0,,Евро,False,,,4.0,,8.0,15.0,2025.0,,
15409,195927.2573124205,59.8490135469133,30.0813372475963,23.59,4.0,0.0,,Евро,False,,,4.0,,8.0,15.0,2025.0,,
15410,191127.9417401303,59.8490135469133,30.0813372475963,26.09,4.0,0.0,,Евро,False,,,4.0,,8.0,15.0,2025.0,,
15411,190663.48336594916,59.8490135469133,30.0813372475963,25.55,2.0,0.0,,Евро,False,,,4.0,,8.0,15.0,2025.0,,
15412,188829.5251017639,59.8490135469133,30.0813372475963,36.85,1.0,15.7,,Евро,False,1.0,,4.0,,8.0,15.0,2025.0,,
15436,204087.49317312945,59.8490135469133,30.0813372475963,36.62,4.0,15.1,,Без ремонта,False,1.0,,4.0,,8.0,15.0,2025.0,,
15437,178144.92753623187,59.8490135469133,30.0813372475963,24.84,1.0,0.0,,Евро,False,,,4.0,,8.0,15.0,2025.0,,
15438,185996.83181225552,59.8490135469133,30.0813372475963,76.7,1.0,19.7,,Дизайнерский,False,3.0,,4.0,,8.0,15.0,2025.0,,
15439,204087.49317312945,59.8490135469133,30.0813372475963,36.62,3.0,15.1,,Дизайнерский,False,1.0,,4.0,,8.0,15.0,2025.0,,
15440,193695.32664546123,59.8490135469133,30.0813372475963,40.87,2.0,19.2,,Без ремонта,False,1.0,,4.0,,8.0,15.0,2025.0,,
15441,178144.92753623187,59.8490135469133,30.0813372475963,24.84,1.0,0.0,,Без ремонта,False,,,4.0,,8.0,15.0,2025.0,,
15442,200929.4696555495,59.8490135469133,30.0813372475963,36.58,3.0,13.8,,Без ремонта,False,1.0,,4.0,,8.0,15.0,2025.0,,
15443,189296.0606989577,59.8490135469133,30.0813372475963,65.24,2.0,19.3,,Без ремонта,False,2.0,,4.0,,8.0,15.0,2025.0,,
