cian_id,city,street,lat,lon,price_sq,area,floor,kitchen_area,bathroom_type,balconies,renovation,is_apartment,rooms,ceiling_height,house_floors,house_wall_type,lifts,freight_lifts,time_on_foot_to_subway,build_year
293207047,Москва,улица Школьная,55.476883,37.304878,220060,33.4,6,0,,1,,False,1,,9,,,,24,
295547526,Москва,5-я Парковая улица,55.800337,37.785854,346666.666666667,30,5,5,1 совмещенный,1,Косметический,False,1,2.75,5,Кирпичный,,,15,1960
295558807,Москва,Уральская улица,55.819939,37.795115,310661.764705882,27.2,6,6.1,1 совмещенный,1,Косметический,False,1,2.64,9,Кирпичный,1,,14,1967
295648320,Москва,улица Панферова,55.681549,37.5433,364548.494983278,29.9,1,5.7,1 совмещенный,0,Косметический,False,1,2.7,9,Кирпичный,1,,5,1961
295652419,Москва,проезд Шокальского,55.886175,37.672307,400000,21,3,3,1 совмещенный,0,Косметический,,1,,9,Кирпичный,1,1,4,1971
295656426,Москва,улица 2-я Машиностроения,55.713233,37.67484,396440.129449838,30.9,7,6,1 совмещенный,1,Косметический,False,1,2.7,9,Кирпичный,1,,2,1962
295664856,Москва,3-й Балтийский переулок,55.811371,37.527337,391891.891891892,37,4,6,1 совмещенный,0,Косметический,,1,,5,Кирпичный,,,3,1959
295668828,Москва,Халтуринская улица,55.80481,37.726313,353883.495145631,20.6,5,3.5,1 совмещенный,0,Косметический,False,1,2.64,9,Кирпичный,1,1,4,1972
295669957,Москва,проезд Шокальского,55.886175,37.672307,272189.349112426,33.8,7,6,1 совмещенный,1,Косметический,False,1,2.64,9,Кирпичный,2,,4,1971
295671228,Москва,Верхняя Первомайская улица,55.79936,37.786959,307947,30.2,3,5.8,,1,,False,1,,5,,,,14,
295677564,Москва,Рязанский проспект,55.724662,37.766262,341503.267973856,30.6,5,5.7,1 совмещенный,1,Косметический,False,1,,8,Кирпичный,,,,1961
295681530,Москва,,55.431622,37.271469,180051.813471503,38.6,2,12,1 совмещенный,1,Косметический,False,1,,6,Кирпичный,1,,29,2007
295681899,Москва,улица 5-я Соколиной Горы,55.765696,37.738324,384375,32,4,6,1 совмещенный,1,Косметический,False,1,2.6,5,Кирпичный,,,10,1961
295693101,Москва,Затонная улица,55.679991,37.68447,312121.212121212,33,7,6,1 совмещенный,1,Косметический,False,1,2.65,9,Кирпичный,1,,3,1967
295711926,Москва,Первомайская улица,55.793586,37.808491,284789.644012945,30.9,4,5.7,1 совмещенный,1,Косметический,,1,,5,Кирпичный,,,8,1968
295720304,Москва,бульвар Генерала Карбышева,55.783524,37.467096,517241.379310345,17.4,4,3,1 совмещенный,0,Косметический,,1,2.5,5,,,,5,1962
295720588,Москва,проезд Черепановых,55.845587,37.551888,267741.935483871,31,1,5,1 совмещенный,,Косметический,False,1,2.64,9,Кирпичный,1,,2,1974
295724011,Москва,Учинская улица,55.881177,37.5349,286666.666666667,30,3,6,1 совмещенный,1,Косметический,,1,2.6,9,Кирпичный,1,,4,1968
295724148,Москва,Гжатская улица,55.716174,37.441413,351170.568561873,29.9,5,7,1 совмещенный,1,Косметический,,1,,5,Кирпичный,,,11,1961
295724251,Москва,улица Заводская,55.431616,37.273985,204545.454545455,33,1,6,,0,,False,1,,2,,,,29,
295724944,Москва,Затонная улица,55.679991,37.68447,309090.909090909,33,7,6,1 совмещенный,,Косметический,,1,2.65,9,Кирпичный,1,,3,1967
295728887,Москва,Коптевская улица,55.834401,37.52015,331666.666666667,30,3,6,,1,,False,1,,5,,,,5,
295729424,Москва,Красноармейская улица,55.800463,37.543686,346774,31,5,6,,,,False,1,,5,,,,5,
295759050,Москва,,55.428715,37.269852,250000,28.6,1,8,1 совмещенный,0,Косметический,,1,2.7,5,Кирпичный,,,30,1968
295759905,Москва,улица Симоновский Вал,55.723805,37.662003,404290.429042904,30.3,7,0,1 совмещенный,1,Косметический,False,1,,9,Кирпичный,1,,10,1965
295764322,Москва,улица Академика Скрябина,55.697143,37.794307,287128.712871287,30.3,2,6,1 совмещенный,1,Косметический,False,1,,5,,,,4,1963
295788863,Москва,Поклонная улица,55.735941,37.527444,480645.161290323,31,8,7,,1,,False,1,,9,,,,9,
295795998,Москва,улица Вавилова,55.67694,37.54109,428571.428571429,28,2,6,,,,False,1,,9,,,,4,
295803735,Москва,Ленинградский проспект,55.797883,37.539509,401337.79264214,29.9,4,6,1 совмещенный,1,Косметический,False,1,,9,,1,,5,1963
295009537,Москва,Южнопортовая улица,55.706218,37.684712,373529.411764706,34,3,7.5,1 раздельный,1,Без ремонта,,1,"3,2",5,Кирпичный,,,1,1951
295648727,Москва,Малая Черкизовская улица,55.806606,37.714815,304314.381270903,29.9,9,0,1 раздельный,1,Без ремонта,False,1,"2,64",9,Кирпичный,1,1,4,1968
286904349,Москва,улица Академика Павлова,55.742149,37.398716,305466.237942122,31.1,4,5.6,1 совмещенный,1,Без ремонта,False,1,"2,77",5,Кирпичный,,,5,1961
287535314,Москва,1-й Кирпичный переулок,55.774482,37.734632,270270.27027027,33.3,2,7.8,1 совмещенный,0,Без ремонта,,1,"2,8",5,Кирпичный,,,5,1958
292495939,Москва,Кантемировская улица,55.634766,37.66274,305912.596401028,38.9,8,10.2,1 совмещенный,,Без ремонта,,1,,14,Кирпичный,1,1,5,1981
292994083,Москва,6-я Парковая улица,55.792063,37.791594,285714.285714286,35,2,6,,0,,False,1,,5,,,,3,
293550016,Москва,Веселая улица,55.623305,37.659721,296875,32,1,6,1 совмещенный,0,Без ремонта,False,1,"2,7",5,Кирпичный,,,9,1962
